,ITER,ITER_DETAIL,PITT_RESTULT
0,1,HistoryLog/Go/11_2018-04-22 17:50:20.765139ITER_1_TRAIN_LOG.csv,R
1,2,HistoryLog/Go/11_2018-04-22 17:50:20.765139ITER_2_TRAIN_LOG.csv,R
2,3,HistoryLog/Go/11_2018-04-22 17:50:20.765139ITER_3_TRAIN_LOG.csv,R
3,4,HistoryLog/Go/11_2018-04-22 17:50:20.765139ITER_4_TRAIN_LOG.csv,R
4,5,HistoryLog/Go/11_2018-04-22 17:50:20.765139ITER_5_TRAIN_LOG.csv,R
5,6,HistoryLog/Go/11_2018-04-22 17:50:20.765139ITER_6_TRAIN_LOG.csv,R
6,7,HistoryLog/Go/11_2018-04-22 17:50:20.765139ITER_7_TRAIN_LOG.csv,R
7,8,HistoryLog/Go/11_2018-04-22 17:50:20.765139ITER_8_TRAIN_LOG.csv,A
8,9,HistoryLog/Go/11_2018-04-22 17:50:20.765139ITER_9_TRAIN_LOG.csv,R
